Usia,Domisili,Nama Program,Harga Kelas,Kategori,Sub Kategori  1 (Tujuan),Sub Kategori 2 (Minat lain),Sub Kategori 3 (Minat lain),Sub Kategori 4 (Minat lain),Usia_Clean,Age_Group,Region,Price_Segment,Kategori_encoded,Region_encoded,Sub1_encoded,Sub2_encoded,Cluster
42.0,Jakarta,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Jabodetabek,Premium (66-100k),5,1,8,1,1
23.0,Muna,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,23.0,Dewasa Muda (18-25),Lainnya,Premium (66-100k),5,6,8,1,1
46.0,Magelang,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,46.0,Dewasa Tua (>45),Jawa Tengah,Premium (66-100k),5,3,8,1,1
39.0,Papua,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,39.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
43.0,Lampung Selatan,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,43.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
45.0,Semarang,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,45.0,Dewasa Menengah (36-45),Jawa Tengah,Premium (66-100k),5,3,8,1,1
38.0,Blitar,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
34.0,Samarinda,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,34.0,Dewasa (26-35),Kalimantan Timur,Premium (66-100k),5,5,8,1,1
29.0,Poso sulteng,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,29.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
30.0,Lampung Selatan,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,30.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
42.0,Bekasi,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Jabodetabek,Premium (66-100k),5,1,8,1,1
34.0,Ciracas Jaktim,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,34.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
47.0,Solo,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,47.0,Dewasa Tua (>45),Lainnya,Premium (66-100k),5,6,8,1,1
42.0,Cilacap,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Jawa Tengah,Premium (66-100k),5,3,8,1,1
48.0,Lampung ,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,48.0,Dewasa Tua (>45),Lainnya,Premium (66-100k),5,6,8,1,1
34.0,Mataram,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,34.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
36.0,Tangerang,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,36.0,Dewasa Menengah (36-45),Jabodetabek,Premium (66-100k),5,1,8,1,1
23.0,Banyumas ,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,23.0,Dewasa Muda (18-25),Lainnya,Premium (66-100k),5,6,8,1,1
46.0,Samarinda,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,46.0,Dewasa Tua (>45),Kalimantan Timur,Premium (66-100k),5,5,8,1,1
34.0,Kendari,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,34.0,Dewasa (26-35),Sulawesi,Premium (66-100k),5,8,8,1,1
26.0,Pekanbaru Riau,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,26.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
40.0,Depok,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,40.0,Dewasa Menengah (36-45),Jabodetabek,Premium (66-100k),5,1,8,1,1
42.0,Manado,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
45.0,Payakumbuh Sumbar,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,45.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
43.0,Gresik,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,43.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
38.0,Luwu,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
38.0,Ds. Bungadidi,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
34.0,Banyumas,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,34.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
44.0,Balikpapan,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,44.0,Dewasa Menengah (36-45),Kalimantan Timur,Premium (66-100k),5,5,8,1,1
34.0,Palembang,Brownies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,34.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
42.0,Semarang,Brownies & BACIMAY,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Jawa Tengah,Premium (66-100k),5,3,8,1,1
12.0,Banten tanggerang selatan,Brownies & Bacimay,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,12.0,Anak (≤12),Lainnya,Premium (66-100k),5,6,8,1,1
37.0,"Situbondo, Jatim",Brownies & Bacimay,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,37.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
26.0,Sultra,Brownies & bacimay,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,26.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
33.0,Kendal,Brownies & bacimay,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,33.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
31.0,Kutai Timur,Brownies & bacimay,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,31.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
38.0,Batam,Brownies & bolu,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
49.0,Semarang,Brownies & pizza,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,49.0,Dewasa Tua (>45),Jawa Tengah,Premium (66-100k),5,3,8,1,1
35.0,Kendari,Brownies & Roti,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,35.0,Dewasa (26-35),Sulawesi,Premium (66-100k),5,8,8,1,1
34.0,Jatinagor,Brownies + BaCiMay ,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,,Anak/Tidak Diketahui,Lainnya,Premium (66-100k),5,6,8,1,1
38.0,Samarinda,Brownies class,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),Kalimantan Timur,Premium (66-100k),5,5,8,1,1
22.0,Cilacap,Brownies class,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,22.0,Dewasa Muda (18-25),Jawa Tengah,Premium (66-100k),5,3,8,1,1
20.0,Ambon,Brownies class#1,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,20.0,Dewasa Muda (18-25),Maluku,Premium (66-100k),5,7,8,1,1
51.0,Tangerang,Brownies dan BaCiMay,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,51.0,Dewasa Tua (>45),Jabodetabek,Premium (66-100k),5,1,8,1,1
44.0,Ambon,Brownies dan bolu,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,44.0,Dewasa Menengah (36-45),Maluku,Premium (66-100k),5,7,8,1,1
47.0,Jawa barat,Brownies dan dessert,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,47.0,Dewasa Tua (>45),Lainnya,Premium (66-100k),5,6,8,1,1
43.0,Solo,Brownies dan Dessert,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,43.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
40.0,Jakarta Selatan,Brownies Laries Manies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,40.0,Dewasa Menengah (36-45),Jabodetabek,Premium (66-100k),5,1,8,1,1
39.0,"Pangkalpinang, Babel",Brownies Laries Manies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,39.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
35.0,Sidoarjo,Brownies Laries Manies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,35.0,Dewasa (26-35),Jawa Timur,Premium (66-100k),5,4,8,1,1
24.0,Mamuju,Brownies Laries Manies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,24.0,Dewasa Muda (18-25),Lainnya,Premium (66-100k),5,6,8,1,1
34.0,Lampung,Brownies laries manies,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,34.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
30.0,Baturaja,Brownies laries manies & bacimay,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,30.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
40.0,Sidoarjo,Brownies laries manies & bacimay,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,40.0,Dewasa Menengah (36-45),Jawa Timur,Premium (66-100k),5,4,8,1,1
46.0,Majalengka,Brownies laries manies & dessert anti seret,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,46.0,Dewasa Tua (>45),Lainnya,Premium (66-100k),5,6,8,1,1
37.0,Lampung,Brownies laries manies & dessert anti seret,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,37.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
35.0,Kendari,Brownies laries manies + kuker,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,35.0,Dewasa (26-35),Sulawesi,Premium (66-100k),5,8,8,1,1
26.0,Riau,Brownies laries manies + pizza mania ceria,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,26.0,Dewasa (26-35),Lainnya,Premium (66-100k),5,6,8,1,1
38.0,Kulon progo,"Brownies, bolu, pizza",80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
38.0,Bontang,"Brownies, pizza, bolu",80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
19.0,Cilacap,Brownies#1,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,19.0,Dewasa Muda (18-25),Jawa Tengah,Premium (66-100k),5,3,8,1,1
51.0,Karawang ,Brownies#1,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,51.0,Dewasa Tua (>45),Lainnya,Premium (66-100k),5,6,8,1,1
42.0,Aceh ,Brownies#1,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
45.0,Cilacao,Brownies#1 & bolu#1,80,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,45.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
29.0,Mojokerto,Class Hijab,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY",29.0,Dewasa (26-35),Jawa Timur,Luxury (>100k),3,4,0,1,2
41.0,Tambun Bekasi,Class Hijab,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY",41.0,Dewasa Menengah (36-45),Jabodetabek,Luxury (>100k),3,1,0,1,2
31.0,Bandung,Coloring Class,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,31.0,Dewasa (26-35),Jawa Barat,Standard (31-65k),4,2,9,3,1
9.0,Bone,Coloring Class,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,9.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
27.0,Tabalong,Coloring class,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,27.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,9,3,1
29.0,Kendari,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,29.0,Dewasa (26-35),Sulawesi,Standard (31-65k),4,8,9,3,1
10.0,Muna Sulteng,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,10.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
7.0,Ambon,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,7.0,Anak (≤12),Maluku,Standard (31-65k),4,7,9,3,1
48.0,Bekasi,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,48.0,Dewasa Tua (>45),Jabodetabek,Standard (31-65k),4,1,9,3,1
43.0,Pangkep Sulsel,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,43.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,9,3,1
7.5,Jakarta,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,7.5,Anak (≤12),Jabodetabek,Standard (31-65k),4,1,9,3,1
48.0,Ambon,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,48.0,Dewasa Tua (>45),Maluku,Standard (31-65k),4,7,9,3,1
9.0,Magelang,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,9.0,Anak (≤12),Jawa Tengah,Standard (31-65k),4,3,9,3,1
5.0,Magetan,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,5.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
39.0,Indramayu ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,39.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,9,3,1
43.0,Majalengka ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,43.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,9,3,1
34.0,Depok,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,34.0,Dewasa (26-35),Jabodetabek,Standard (31-65k),4,1,9,3,1
35.0,Semarang ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,35.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),4,3,9,3,1
11.0,Sampit Kalteng,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,11.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
11.0,Malang,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,11.0,Anak (≤12),Jawa Timur,Standard (31-65k),4,4,9,3,1
7.0,Malang,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,7.0,Anak (≤12),Jawa Timur,Standard (31-65k),4,4,9,3,1
39.0,Banyumas ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,39.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,9,3,1
7.0,Lombok Tengah ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,7.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
23.0,Pangkal Raya Kalimantan Tengah,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,23.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,9,3,1
9.0,Kaltim ,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,9.0,Anak (≤12),Kalimantan Timur,Standard (31-65k),4,5,9,3,1
8.0,Sewon Bantul,Coloring Class ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,8.0,Anak (≤12),DIY,Standard (31-65k),4,0,9,3,1
8.0,Muna Sulawesi Tenggara ,Coloring class (privat) + Drawing Junior (grup),50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,8.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
7.0,Tabalong ,Coloring Class + Drawing junior ,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,7.0,Anak (≤12),Lainnya,Standard (31-65k),4,6,9,3,1
6.0,Yogya,Coloring class privat,50,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting,6.0,Anak (≤12),DIY,Standard (31-65k),4,0,9,3,1
40.0,Batam,Dekorasi Cake,75,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,40.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
43.0,Bengkulu,Dekorasi Cake,75,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,43.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
42.0,Gresik,Dekorasi Cake,75,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Lainnya,Premium (66-100k),5,6,8,1,1
41.0,Jember,dekorasi cake & dessert ,75,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,41.0,Dewasa Menengah (36-45),Jawa Timur,Premium (66-100k),5,4,8,1,1
59.0,Depok,Dekorasi Cake & Rempeyek,75,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,59.0,Dewasa Tua (>45),Jabodetabek,Premium (66-100k),5,1,8,1,1
43.0,Bekasi,Desai privat #17,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,43.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),4,1,4,1,1
24.0,Wonogiri,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,24.0,Dewasa Muda (18-25),Jawa Tengah,Standard (31-65k),4,3,4,1,1
34.0,Sidoarjo,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,34.0,Dewasa (26-35),Jawa Timur,Standard (31-65k),4,4,4,1,1
23.0,Surabaya,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,23.0,Dewasa Muda (18-25),Jawa Timur,Standard (31-65k),4,4,4,1,1
48.0,Banyumas,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,48.0,Dewasa Tua (>45),Lainnya,Standard (31-65k),4,6,4,1,1
27.0,Semarang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,27.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),4,3,4,1,1
39.0,Cilacap,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,39.0,Dewasa Menengah (36-45),Jawa Tengah,Standard (31-65k),4,3,4,1,1
42.0,Jakarta,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,42.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),4,1,4,1,1
26.0,Pemalang Jawa Tengah,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,26.0,Dewasa (26-35),Jawa Timur,Standard (31-65k),4,4,4,1,1
41.0,Magetan,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,41.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
38.0,Purwokerto,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,38.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
22.0,Ngawi,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,22.0,Dewasa Muda (18-25),Jawa Timur,Standard (31-65k),4,4,4,1,1
40.0,Nganjuk,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,40.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
39.0,Kalimantan Tengah,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,39.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
41.0,Magelang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,41.0,Dewasa Menengah (36-45),Jawa Tengah,Standard (31-65k),4,3,4,1,1
27.0,Asahan,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,27.0,Dewasa (26-35),Lainnya,Standard (31-65k),4,6,4,1,1
42.0,Temanggung,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,42.0,Dewasa Menengah (36-45),Jawa Tengah,Standard (31-65k),4,3,4,1,1
21.0,Batam,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,21.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,1,1
40.0,Karawang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,40.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
31.0,Yogyakarta,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,31.0,Dewasa (26-35),DIY,Standard (31-65k),4,0,4,1,1
37.0,Pemalang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,37.0,Dewasa Menengah (36-45),Jawa Timur,Standard (31-65k),4,4,4,1,1
46.0,Pemalang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,46.0,Dewasa Tua (>45),Jawa Timur,Standard (31-65k),4,4,4,1,1
45.0,Banjarnegara,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,45.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
38.0,Pemalang,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,38.0,Dewasa Menengah (36-45),Jawa Timur,Standard (31-65k),4,4,4,1,1
50.0,Bogor,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,50.0,Dewasa Tua (>45),Jabodetabek,Standard (31-65k),4,1,4,1,1
33.0,Purbalingga,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,33.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),4,3,4,1,1
42.0,Banjarnegara,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,42.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
46.0,Purbalingga,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,46.0,Dewasa Tua (>45),Jawa Tengah,Standard (31-65k),4,3,4,1,1
44.0,Brebes,Desain BA.PRO,65,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,Financial,44.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),4,6,4,1,1
