Usia,Domisili,Nama Program,Harga Kelas,Kategori,Sub Kategori  1 (Tujuan),Sub Kategori 2 (Minat lain),Sub Kategori 3 (Minat lain),Sub Kategori 4 (Minat lain),Usia_Clean,Age_Group,Region,Price_Segment,Kategori_encoded,Region_encoded,Sub1_encoded,Sub2_encoded,Cluster
21.0,Makassar,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,21.0,Dewasa Muda (18-25),Sulawesi,Premium (66-100k),5,8,8,1,1
38.0,Yogyakarta,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),DIY,Premium (66-100k),5,0,8,1,1
47.0,Purbalingga,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,47.0,Dewasa Tua (>45),Jawa Tengah,Premium (66-100k),5,3,8,1,1
58.0,Jakarta Timur,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,58.0,Dewasa Tua (>45),Jabodetabek,Premium (66-100k),5,1,8,1,1
34.0,Balikpapan,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,,Anak/Tidak Diketahui,Kalimantan Timur,Premium (66-100k),5,5,8,1,1
40.0,Kaltim,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,40.0,Dewasa Menengah (36-45),Kalimantan Timur,Premium (66-100k),5,5,8,1,1
52.0,Jakarta,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,52.0,Dewasa Tua (>45),Jabodetabek,Premium (66-100k),5,1,8,1,1
42.0,Cilacap,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Jawa Tengah,Premium (66-100k),5,3,8,1,1
34.0,Luhu,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,,Anak/Tidak Diketahui,Maluku,Premium (66-100k),5,7,8,1,1
41.0,Jember,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,41.0,Dewasa Menengah (36-45),Jawa Timur,Premium (66-100k),5,4,8,1,1
