Usia,Domisili,Nama Program,Harga Kelas,Kategori,Sub Kategori  1 (Tujuan),Sub Kategori 2 (Minat lain),Sub Kategori 3 (Minat lain),Sub Kategori 4 (Minat lain)
47,Cimahi,Dessert anti seret dan Pizza Mania Ceria,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
42,Temanggung,Dessert dan brownies,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
11,Kendari,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
42,Bogor,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
39,Semarang,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
48,Bogor,Digital lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
23,Cirebon,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
36,Jambi,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
21,Batam,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
31,Makassar,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
35,Bandung,Digital lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
40,Solo,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
21,Surakarta,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
31,Bekasi,Digital lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
42,Bekasi,Digital lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
14,Jakarta,Digital lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
34,Bogor,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
22,Sragen,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
20,Samarinda,Digital lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
12,Jaksel,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
37,Situbondo,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
13,Bekasi,Digital Lettering,65,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
33,Tangsel,Donat,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
44,Ambon,Donat,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
22,Sultra Kendari,Donat,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
29,Kendari,Donat,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
30,Cilacap,Donat,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
26,Pekanbaru,Donat,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
32,Cilacap,Donat,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
0,Lombok,Donat,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
35,Jaktim,Donat,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
49,Jerman,Donatz & bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
48,Batam,Donatz & Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
43,Tangerang,Donatz & rempeyek,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
14,Malang,Drawing Advance,65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
12,Sangatta,Drawing basic (privat) & coloring class (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
12,Bojonggede,Drawing basic (privat) + Coloring class (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
45,Solo,Drawing basic (privat) + coloring class (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
48,Ambon,Drawing Class Junior ,65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
18,Yogyakarta ,Drawing Class Junior & Drawing Class Level Advance ,65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
27,Tabalong,Drawing Class Level Advance,65,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
15,Medan,Drawing Class Level Advance,65,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
25,Tegal,Drawing Class Level Advance ,65,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
12,Depok,Drawing Class Level Advance ,65,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
13,Medan,Drawing Class Level Advance ,65,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
54,Kalibagor Banyumas,Drawing Class Level Advance (grup),65,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
7,Depok,Drawing junior ,65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
6,Tangerang Selatan ,Drawing junior (grup),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
8,Sulawesi Utara ,Drawing junior (grup),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
8,Bandung,Drawing junior (grup),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
37,Malang,Drawing junior (grup) + Drawing level basic (privat) + Coloring class (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
21,Pati,Drawing Junior (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
15,Enrekang Sulsel,Drawing junior (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
10,Pangkalpinang ,Drawing junior (privat) & coloring class (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
6,Sangatta,Drawing junior (privat) & Coloring class (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
10,Bojonggede ,Drawing junior (privat) + Coloring class (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
15,Mirfa Abu Dhabi ,Drawing junior + Coloring class ,65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
21,Tenggarong Kaltim,Drawing level advance ,65,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
28,Merauke ,Drawing level basic ,65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
11,Tangerang Selatan,Drawing level basic (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
6,Metro Lampung,Drawing level basic (privat) & Coloring class (privat),65,Hobi,Motorik Anak,Kreativitas dan Belajar Anak,Kesehatan Anak,Parenting
14,Pekanbaru ,Drawing privat 2 (basic-advance),65,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
13,Pekanbaru ,Drawing privat 2 (basic-advance),65,Hobi,Keterampilan Manual,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY"
27,solo,Fashion Design,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
0,Bogor,Fashion Design,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
27,Batam,Fashion Design,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
48,Semarang,Fashion design,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
0,Medan,Fashion design,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
44,Batam kepri,Fashion design A,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
30,Ambon,Fashion design A dan B,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
59,Daerah Istimewa Yogyakarta,Fashion Design Cource #2,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
39,Sukoharjo Solo,Fashion design course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
30,Karawang,Fashion Design Course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
31,Malang,Fashion Design Course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
32,Melawi Kalbar,Fashion design course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
29,Tangerang,Fashion design course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
44,Lampung,Fashion design course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
18,Purbalingga,Fashion design course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
46,Lampung,Fashion Design Course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
17,Makassar,Fashion design course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
50,Bogor,Fashion design course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
28,Cirebon,Fashion design course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
30,Belopa sulsel,Fashion design course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
38,Kebumen,Fashion design course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
11,Pangkalpinang,Fashion Design Course,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
25,Bandar Lampung,Fashion design course ,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
14,Medan,Fashion design course ,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
21,Balikpapan,Fashion design course ,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
23,Depok,Fashion design course ,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
53,Banjarnegara ,Fashion design course ,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
19,Purbalingga ,Fashion design course ,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
31,Makassar,Fashion design course #2,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
26,Sidoarjo,Fashion design course #2,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
48,Bogor,Fashion design course #2,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
40,Ambarawa,Fashion design course #2,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
61,Sumbar,Fashion design course #2,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
40,Yogyakarta,Fashion design course#2 & Rajut lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
25,Jambi ,Fashion design program A,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
32,Purbalingga,"Fashion design program A, B ",120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
18,Cilacap ,"Fashion design, smock & sulam pita, kelas jahit mukena",120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
40,Yogyakarta,Flash Sale,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
28,Probolinggo-Sidoarjo,Flash Sale,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
36,Madiun ,Flash Sale,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
25,"Purwakarta, Jawa Barat",FLASH SALE,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
38,Klaten,Flash Sale,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
49,Metrolampung,Flash sale,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
23,Sulsel wajo,Flash sale,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
20,Cilacap jawa tengah,Flash sale,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
16,Pekan baru,Flash sale,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
36,Kebumen ,flash sale,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
31,Pangkalpinang,Flash sale,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
25,Kalimantan Timur ,Flash sale ,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
35,Depok,Flash sale jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
41,Banjarnegara,Flash Sale jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
41,Magelang,"Flash sale jahit basic, jahit lanjutan, fashion design, smock & sulam pita",120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
28,Makassar,Flash sale kursus fashion design,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
20,Cirebon jawa barat,Flash sale kursus rajut lanjutan,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
35,Sidoarjo,Flash Sale Paket Kursus Rajut Basic dan Lanjutan,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
22,Magelang,"Flash sale Rajut basic, rajut lanjutan",120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
25,Ambon,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
24,Kepulauan Tanimbar,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
23,Depok,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
23,Jeneponto,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
28,Kebumen ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
38,Situbondo ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
27,Aceh,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
29,Bandung ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
25,Buton Sulawesi Tenggara ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
28,Tangerang ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
37,Sragen ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
22,Cilacap ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
33,Muna Sulawesi Tenggara ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
24,Weda Maluku Utara,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
22,Cilacap ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
23,Kuningan ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
25,Surabaya,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
27,Sukoharjo,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
37,Jambi,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
27,Mamuju Tengah,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
20,Cilacap,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
29,Pariaman,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
50,Cimahi,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
37,Sidrap Sulsel,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
25,Cilacap ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
45,Tuban,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
41,Situbondo ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
27,Banyumas ,Gizi #2,40,Anak,Kesehatan Anak,Lifestyle,"Makanan Sehat, Praktis",Family Wellness
37,Sulsel,Hijab,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
27,Singkawang kalbar,Hijab,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
42,Batam,Hijab,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
16,Sulawesi Tengah,Hijab Basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
20,Metro,Hijab basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
34,Karawang,Hijab basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
21,Aceh,Hijab Basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
25,Batam,Hijab Basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
49,Tulungagung,Hijab Basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
35,Perumahan Barcelona,Hijab Basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
45,Sangatta,Hijab basic #2,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
21,Sukabumi,Hijab basic#2,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
40,Yogyakarta,Hijab basic#2 & Ruang BISA,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
24,Sumut ,Hijab Class,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
34,Ambon,Hijab class,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
19,Padang,Hijab Class,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
19,Bangka Belitung,Hijab Class Basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
48,Pekanbaru,Hijab Class Basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
47,Pekanbaru,Hijab Class Basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
38,Bekasi,Hijab Class Basic,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
26,Sulawesi Tenggara,Hijab Class Basic #2,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
48,Lampung selatan,It's Kuker Time,95,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
44,Ambon,It's kuker time,95,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
29,Cirebon,It's Kuker Time #6,95,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
34,Kota Gorontalo,It's KuKer Time! #3,95,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
38,Kulon Progo,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
45,Sangatta kaltim,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
29,Maluku,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
35,Kalimantan barat,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
23,Buton,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
26,Jambi,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
40,Gresik,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
18,Magelang,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
25,Pomalaa,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
33,Boyolali,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
26,Banjarnegara,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
23,Jambi,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
29,Bontang,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
40,Semarang,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
35,Jaktim,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
22,Semarang,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
45,Brebes,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
44,Perum tiga raksa Tangerang,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
34,Bontang Kaltim,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
33,Kotamobagu Sulawesi Utara,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
44,Sukoharjo,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
29,Lampung,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
42,Boja Kendal,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
38,Banyumas,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
39,Indramayu,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
0,Ambon,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
26,Tangerang,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
0,Buton Sulawesi Tenggara,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
40,Tolitoli,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
16,Banyuwangi Jatim,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
41,Lombok Tengah,Jahit Basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
24,Muna,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
28,Batam,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
37,Indramayu,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
43,Tangerang,Jahit basic,120,Fashion,Busana Keluarga,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
